,instance,base,size,depth,num
0,exhsearch_s11_d1_num1,0.0003647999983513728,11,1,1
1,exhsearch_s11_d1_num10,0.0003818999975919724,11,1,10
2,exhsearch_s11_d1_num2,0.0003663999959826469,11,1,2
3,exhsearch_s11_d1_num3,0.00034639999648788944,11,1,3
4,exhsearch_s11_d1_num4,0.0003051000021514483,11,1,4
5,exhsearch_s11_d1_num5,0.000265199996647425,11,1,5
6,exhsearch_s11_d1_num6,0.00031160000071395183,11,1,6
7,exhsearch_s11_d1_num7,0.00037480000173673045,11,1,7
8,exhsearch_s11_d1_num8,0.0003249000001233071,11,1,8
9,exhsearch_s11_d1_num9,0.0003677999993669801,11,1,9
10,exhsearch_s11_d2_num1,0.0037827000051038344,11,2,1
11,exhsearch_s11_d2_num10,0.0005081999988760799,11,2,10
12,exhsearch_s11_d2_num2,0.003964400006225333,11,2,2
13,exhsearch_s11_d2_num3,0.0033231999987037852,11,2,3
14,exhsearch_s11_d2_num4,0.0011932999987038786,11,2,4
15,exhsearch_s11_d2_num5,0.0004778000002261251,11,2,5
16,exhsearch_s11_d2_num6,0.0005836999989696777,11,2,6
17,exhsearch_s11_d2_num7,0.002349900001718197,11,2,7
18,exhsearch_s11_d2_num8,0.0005040999967604876,11,2,8
19,exhsearch_s11_d2_num9,0.001422099994670134,11,2,9
20,exhsearch_s11_d3_num1,0.002974600000015925,11,3,1
21,exhsearch_s11_d3_num10,0.040275799998198636,11,3,10
22,exhsearch_s11_d3_num2,0.2316634000017075,11,3,2
23,exhsearch_s11_d3_num3,0.007382499999948776,11,3,3
24,exhsearch_s11_d3_num4,0.006669599999440835,11,3,4
25,exhsearch_s11_d3_num5,0.012169299996457994,11,3,5
26,exhsearch_s11_d3_num6,0.005172099998162594,11,3,6
27,exhsearch_s11_d3_num7,0.00821360000554705,11,3,7
28,exhsearch_s11_d3_num8,0.03332320000481559,11,3,8
29,exhsearch_s11_d3_num9,0.03723150000587338,11,3,9
30,exhsearch_s11_d4_num1,0.9575232999995932,11,4,1
31,exhsearch_s11_d4_num10,1.6291869999986377,11,4,10
32,exhsearch_s11_d4_num2,2.5111419999957434,11,4,2
33,exhsearch_s11_d4_num3,0.3821708999967086,11,4,3
34,exhsearch_s11_d4_num4,1.3800953999962076,11,4,4
35,exhsearch_s11_d4_num5,3.12640160000592,11,4,5
36,exhsearch_s11_d4_num6,0.30261980000068434,11,4,6
37,exhsearch_s11_d4_num7,4.712894600001164,11,4,7
38,exhsearch_s11_d4_num8,2.6665247999990243,11,4,8
39,exhsearch_s11_d4_num9,0.19756849999976112,11,4,9
40,exhsearch_s13_d1_num1,0.0005574999959208071,13,1,1
41,exhsearch_s13_d1_num10,0.0004628000024240464,13,1,10
42,exhsearch_s13_d1_num2,0.0004472000000532717,13,1,2
43,exhsearch_s13_d1_num3,0.0004666999957407825,13,1,3
44,exhsearch_s13_d1_num4,0.0005106999960844405,13,1,4
45,exhsearch_s13_d1_num5,0.0004889999981969595,13,1,5
46,exhsearch_s13_d1_num6,0.00039180000021588057,13,1,6
47,exhsearch_s13_d1_num7,0.0005453999983728863,13,1,7
48,exhsearch_s13_d1_num8,0.0004980000012437813,13,1,8
49,exhsearch_s13_d1_num9,0.0005144000024301931,13,1,9
50,exhsearch_s13_d2_num1,0.010505399994144682,13,2,1
51,exhsearch_s13_d2_num10,0.005219799997576047,13,2,10
52,exhsearch_s13_d2_num2,0.0006266999989748001,13,2,2
53,exhsearch_s13_d2_num3,0.0016708999974071046,13,2,3
54,exhsearch_s13_d2_num4,0.005114100000355393,13,2,4
55,exhsearch_s13_d2_num5,0.0025234999993699607,13,2,5
56,exhsearch_s13_d2_num6,0.0005909000028623268,13,2,6
57,exhsearch_s13_d2_num7,0.0012438999983714893,13,2,7
58,exhsearch_s13_d2_num8,0.006502899996121414,13,2,8
59,exhsearch_s13_d2_num9,0.00918890000320971,13,2,9
60,exhsearch_s13_d3_num1,0.00687350000225706,13,3,1
61,exhsearch_s13_d3_num10,0.17594280000048454,13,3,10
62,exhsearch_s13_d3_num2,0.03583329999673879,13,3,2
63,exhsearch_s13_d3_num3,0.33595070000592386,13,3,3
64,exhsearch_s13_d3_num4,0.24975110000377754,13,3,4
65,exhsearch_s13_d3_num5,0.024680400005308908,13,3,5
66,exhsearch_s13_d3_num6,0.03659560000232887,13,3,6
67,exhsearch_s13_d3_num7,0.14729760000045644,13,3,7
68,exhsearch_s13_d3_num8,0.3268854999987525,13,3,8
69,exhsearch_s13_d3_num9,0.053697999996074934,13,3,9
70,exhsearch_s13_d4_num1,1.159661400000914,13,4,1
71,exhsearch_s13_d4_num10,16.255008200001615,13,4,10
72,exhsearch_s13_d4_num2,1.6458163999996032,13,4,2
73,exhsearch_s13_d4_num3,0.8725100999945425,13,4,3
74,exhsearch_s13_d4_num4,0.7046155000061844,13,4,4
75,exhsearch_s13_d4_num5,3.4352166000026045,13,4,5
76,exhsearch_s13_d4_num6,2.132945099998324,13,4,6
77,exhsearch_s13_d4_num7,0.2444334000028903,13,4,7
78,exhsearch_s13_d4_num8,12.986344999997527,13,4,8
79,exhsearch_s13_d4_num9,1.3654906000010671,13,4,9
80,exhsearch_s7_d1_num1,0.00016879999748198316,7,1,1
81,exhsearch_s7_d1_num10,0.0001369000019622035,7,1,10
82,exhsearch_s7_d1_num2,0.0001740000006975606,7,1,2
83,exhsearch_s7_d1_num3,0.00015890000213403257,7,1,3
84,exhsearch_s7_d1_num4,0.00016070000128820539,7,1,4
85,exhsearch_s7_d1_num5,0.0001765999986673705,7,1,5
86,exhsearch_s7_d1_num6,0.00016879999748198316,7,1,6
87,exhsearch_s7_d1_num7,0.00017500000103609636,7,1,7
88,exhsearch_s7_d1_num8,0.0001336000059382059,7,1,8
89,exhsearch_s7_d1_num9,0.00017859999934444204,7,1,9
90,exhsearch_s7_d2_num1,0.0009505000052740797,7,2,1
91,exhsearch_s7_d2_num10,0.0001841000048443675,7,2,10
92,exhsearch_s7_d2_num2,0.0005506000015884638,7,2,2
93,exhsearch_s7_d2_num3,0.0009116000001085922,7,2,3
94,exhsearch_s7_d2_num4,0.0007905000020400621,7,2,4
95,exhsearch_s7_d2_num5,0.0010522000011405908,7,2,5
96,exhsearch_s7_d2_num6,0.00025040000036824495,7,2,6
97,exhsearch_s7_d2_num7,0.0006162999998196027,7,2,7
98,exhsearch_s7_d2_num8,0.0003085999996983446,7,2,8
99,exhsearch_s7_d2_num9,0.0002961999998660758,7,2,9
100,exhsearch_s7_d3_num1,0.0013421999974525536,7,3,1
101,exhsearch_s7_d3_num10,0.008227300000726245,7,3,10
102,exhsearch_s7_d3_num2,0.0019351000009919519,7,3,2
103,exhsearch_s7_d3_num3,0.0020048000005772337,7,3,3
104,exhsearch_s7_d3_num4,0.0012301000024308448,7,3,4
105,exhsearch_s7_d3_num5,0.009898500000417698,7,3,5
106,exhsearch_s7_d3_num6,0.007691300001170019,7,3,6
107,exhsearch_s7_d3_num7,0.0015032999945105985,7,3,7
108,exhsearch_s7_d3_num8,0.0013403999982983805,7,3,8
109,exhsearch_s7_d3_num9,0.010605899995425716,7,3,9
110,exhsearch_s9_d1_num1,0.00021660000493284318,9,1,1
111,exhsearch_s9_d1_num10,0.00025440000172238797,9,1,10
112,exhsearch_s9_d1_num2,0.0002495000007911585,9,1,2
113,exhsearch_s9_d1_num3,0.00025050000112969434,9,1,3
114,exhsearch_s9_d1_num4,0.00023549999605165797,9,1,4
115,exhsearch_s9_d1_num5,0.0002393000031588599,9,1,5
116,exhsearch_s9_d1_num6,0.00025399999867659057,9,1,6
117,exhsearch_s9_d1_num7,0.00019690000044647604,9,1,7
118,exhsearch_s9_d1_num8,0.0002516000022296794,9,1,8
119,exhsearch_s9_d1_num9,0.00025090000417549163,9,1,9
120,exhsearch_s9_d2_num1,0.0019825000053970143,9,2,1
121,exhsearch_s9_d2_num10,0.0004627999951480888,9,2,10
122,exhsearch_s9_d2_num2,0.0007827000008546747,9,2,2
123,exhsearch_s9_d2_num3,0.0004456000024219975,9,2,3
124,exhsearch_s9_d2_num4,0.0010360000014770776,9,2,4
125,exhsearch_s9_d2_num5,0.00036130000080447644,9,2,5
126,exhsearch_s9_d2_num6,0.00232539999706205,9,2,6
127,exhsearch_s9_d2_num7,0.0002598999999463558,9,2,7
128,exhsearch_s9_d2_num8,0.0010726000036811456,9,2,8
129,exhsearch_s9_d2_num9,0.00034610000147949904,9,2,9
130,exhsearch_s9_d3_num1,0.003230300004361197,9,3,1
131,exhsearch_s9_d3_num10,0.013223499998275656,9,3,10
132,exhsearch_s9_d3_num2,0.002921500003139954,9,3,2
133,exhsearch_s9_d3_num3,0.011407599995436613,9,3,3
134,exhsearch_s9_d3_num4,0.0026242999956593853,9,3,4
135,exhsearch_s9_d3_num5,0.01656399999774294,9,3,5
136,exhsearch_s9_d3_num6,0.0017175000029965304,9,3,6
137,exhsearch_s9_d3_num7,0.0017070000030798838,9,3,7
138,exhsearch_s9_d3_num8,0.005837699995026925,9,3,8
139,exhsearch_s9_d3_num9,0.0027403999993111943,9,3,9
140,exhsearch_s9_d4_num1,0.3628538999982993,9,4,1
141,exhsearch_s9_d4_num10,0.22824330000003099,9,4,10
142,exhsearch_s9_d4_num2,0.09322970000357599,9,4,2
143,exhsearch_s9_d4_num3,0.046866500000760425,9,4,3
144,exhsearch_s9_d4_num4,0.06341890000476269,9,4,4
145,exhsearch_s9_d4_num5,0.16864689999783875,9,4,5
146,exhsearch_s9_d4_num6,0.1471746000024723,9,4,6
147,exhsearch_s9_d4_num7,0.2052326000048197,9,4,7
148,exhsearch_s9_d4_num8,0.06040329999814276,9,4,8
149,exhsearch_s9_d4_num9,2.082341000001179,9,4,9
